twid,tweep,twtext,fav,rt,url
602957570056257537,NBCNews,Grandfather holds out hopes that family swept in Texas floods will be found http://t.co/sV0h4r7t4j http://t.co/uF5s364MFR,52,64,http://nbcnews.to/1HGuuz4
602947253523902466,NBCNews,Woman hanging on Shell ship since Friday ends drill protest http://t.co/7Ju7rPITMo http://t.co/xbiqjPDpoE,53,77,http://nbcnews.to/1FbMR99
602933777711689728,NBCNews,"Climate change means more ragweed (and allergies) for Europe, study says
http://t.co/jmsvTRl9PQ http://t.co/95byvWY6sO",37,58,http://nbcnews.to/1Auc7KX
602929364032999425,NBCNews,America's fallen honored across nation for Memorial Day http://t.co/9yimUzS4fO http://t.co/7yT3ngi1ZI,140,93,http://nbcnews.to/1JRoxyW
602920107438952449,NBCNews,Twister kills 13 in Mexico border city http://t.co/grYfM9O8WL http://t.co/m2fi5GWuVA,37,87,http://nbcnews.to/1HGXZhw
602910438360272896,NBCNews,"Dozens arraigned after protests over acquittal of Cleveland Officer Michael Brelo
http://t.co/FmZao1EmzI http://t.co/NXhiGME52x",25,54,http://nbcnews.to/1cWBR84
602895938282205185,NBCNews,Charter nears $55 billion deal for Time Warner Cable: Source http://t.co/XQXWmBVWnR http://t.co/sgGqnhM0UJ,26,47,http://nbcnews.to/1GyBdJW
602891976296538115,NBCNews,FBI looking into chemical weapons threat against planes http://t.co/opy1vs2A3N http://t.co/8Miizou0F3,73,126,http://nbcnews.to/1JR9W6o
602883049374777347,NBCNews,Obama says in Memorial Day speech that U.S. 'can never fully repay' debt to the fallen http://t.co/Xof5Xxz1R9 http://t.co/cEuGFKJ71C,160,123,http://nbcnews.to/1cWv5iG
602880138309705729,NBCNews,"Michael Ryan, convicted in 1985 torture killings in Nebraska, dies in prison
http://t.co/I9xKupc5hD http://t.co/hzsYrljcX0",38,42,http://nbcnews.to/1FbnnbS
602868031916769280,NBCNews,This anti-austerity protester is new mayor of Barcelona http://t.co/qMxXIk6dEW http://t.co/588vYtMhTZ,50,70,http://nbcnews.to/1RhtJhy
602859634492362753,NBCNews,China complains of 'provocative' U.S. spy plane http://t.co/xxO5EfcLWw http://t.co/RY9dEndRiz,30,53,http://nbcnews.to/1dt3VAR
602854718357004288,NBCNews,Holy profit: Vatican bank rebounds from past scandals http://t.co/gLWfj7L3sc,20,29,http://nbcnews.to/1HGnSOo
602852471996813314,NBCNews,"WATCH LIVE: President Obama lays wreath, delivers remarks at Arlington National Cemetery http://t.co/rXdLFVXMKJ http://t.co/aI4WkelMhP",158,99,http://nbcnews.to/1IZHX3H
602836793596256256,NBCNews,Scene of 'cruelty': 139 graves found at migrant camps http://t.co/W2lfIhUKGL http://t.co/F38KnzUl60,21,37,http://nbcnews.to/1EsZyut
602828612690149377,NBCNews,More airport security badges missing as pols demand answers http://t.co/GBB8RCrogu http://t.co/gHHtGbXkE7,22,42,http://nbcnews.to/1IVg7XP
602815533378056193,TODAYshow,Toddler throws tantrum at the White House in front of the President: http://t.co/X5Dy4l6tdc #WhatsTrendingTODAY http://t.co/5TkfQVcB4h,465,282,http://on.today.com/1Fz2Hgw
602812262332669952,NBCNews,Iraqi military vows to recapture Ramadi 'within days' after stinging U.S. criticism http://t.co/iDuoZK5mQl http://t.co/tPvugEvskA,31,36,http://nbcnews.to/1Fb08yO
602798780677750784,TODAYshow,"An awe-inspiring sight: 37,000 American flags on the Boston Common (via @GettyImages) #MemorialDay http://t.co/8thVbDN3AO",1046,735,
602793396680392704,NBCNews,They're just like us! Senators sound off on favorite TV shows http://t.co/SnX3KvYhKH http://t.co/8GhJ47uaNI,14,19,http://nbcnews.to/1Q5ZA2h
602790724602572800,NBCNews,Here's everything you didn't know about Common Core http://t.co/wyv5oWt8iT http://t.co/fJOtQPDZek,58,55,http://nbcnews.to/1cW1jdJ
602783647956082688,NBCNews,Texas and Oklahoma floods: 8 people are missing as more rain forecast http://t.co/nSegD8Wk0m http://t.co/0N5CGV804k,39,60,http://nbcnews.to/1EsHpx5
602768893942374400,NBCNews,Where you live probably says says something about how you're spending Memorial Day http://t.co/1QHMhVnC2U http://t.co/OJwrcQvie4,55,53,http://nbcnews.to/1PH7LHv
602755404490235904,NBCNews,"Hospitals slash free baby formula giveaways, new survey shows http://t.co/1Oo78FOWJF http://t.co/0WrIeArMlk",24,27,http://nbcnews.to/1EszCPJ
602747954810789889,NBCNews,Watch: Texas floods sweep away man trapped in SUV http://t.co/AcO6kaowbJ http://t.co/2U6kZYTbTO,25,49,http://nbcnews.to/1JPnPCa
602744033719496704,NBCNews,Former Israeli Prime Minister Ehud Olmert sentenced to 8 months in jail for corruption http://t.co/bb29mSDZsM  e http://t.co/2yGw6gHTDn,20,54,http://nbcnews.to/1IYVUyQ
602739430164692992,NBCNews,This 19-year-old is lead plaintiff in a class action over concussions in high school football http://t.co/U4U8JPL2GA http://t.co/B9gxKtEd0F,39,31,http://nbcnews.to/1Gy56dc
602696890002579457,NBCNewYork,Forensic scientist says Hudson River body ID'ed as missing kayaker http://t.co/BE05iJWFzD,20,26,http://4.nbcny.com/nnoN1F7
602693490645008384,NBCNews,"Three confirmed dead, eight missing after devastating floods in Oklahoma and Texas http://t.co/uw0GDzV0Wp http://t.co/Rp0deVJQYs",52,109,http://nbcnews.to/1BkWnFg
602600652813037569,NBCNews,'We will be everywhere': Hezbollah says group will step up presence in Syria as needed http://t.co/QmvfH6Y5xP http://t.co/WgLA5QxPMy,19,31,http://nbcnews.to/1KfKvtk
602590755878735874,NBCNews,"Gay marriages in Ireland by Christmas, new law to be drafted this week http://t.co/kR1zais5Ay http://t.co/bUVkja7sri",209,102,http://nbcnews.to/1Bkvi51
602574068609642496,NBCNews,"Actress and comedian Anne Meara, mom of Ben Stiller, dies at 85 http://t.co/R3tCv11Lsv http://t.co/Ytq0zGlwiG",194,260,http://nbcnews.to/1ITu6gX
602566863143440384,NBCNews,"Carrying The Load: A Veteran reminds us what not to forget on Memorial Day
http://t.co/NiEU0tHF9B http://t.co/wIZrPlLhrA",235,172,http://nbcnews.to/1HqTZyO
602561767823269891,NBCSports,MORE: Montoya comes back from 30th to win 2nd career Indianapolis 500 --&gt; http://t.co/W4fwukRtRD,90,61,http://tw.nbcsports.com/O8q
602559638140235776,NBCSports,"Juan Pablo Montoya wins the 99th running of the Indianapolis 500, making a late move to beat out Will Power. #Indy500",129,119,
602555872804495361,NBCNews,Disappointing weekend for 'Tomorrowland' at box office http://t.co/RYYPvZmRaZ http://t.co/Px6tRg7Rql,29,29,http://nbcnews.to/1AnNC2u
602541036032892930,NBCNews,New Orleans police officer shot dead in patrol car http://t.co/o7NBvRZNW9,23,112,http://nbcnews.to/1KffYMn
602523189680480257,NBCNews,Bird flu spreading as scientists look everywhere for clues http://t.co/27wbi9vjt2 http://t.co/5KnzJBen2w,42,66,http://nbcnews.to/1FIWCPY
602497336749727744,NBCNews,Territory near Ramadi seized from ISIS — as Pentagon criticizes Iraq's 'will to fight' http://t.co/KdvlECvZL2 http://t.co/gqsvtgyEG4,51,64,http://nbcnews.to/1SxcEle
