twid,tweep,twtext,fav,rt,url
587857859452502016,CBSNews,"Woman in Paris Marathon: ""In Africa, women travel this distance everyday to get potable water"" http://t.co/ngBcGmYeaP",54,71,http://cbsn.ws/1ylJDCj
587842756241948672,CBSNews,"Rare turtle, thought to be extinct just over a decade ago, makes surprising comeback http://t.co/bEt76oxXXO",46,36,http://cbsn.ws/1PFzS7s
587827643137007616,CBSNews,"U.S. protests ""unsafe and unprofessional"" intercept of reconnaissance plane by Russian fighter jet http://t.co/nj6mAg7RBT",13,28,http://cbsn.ws/1DXRubI
587820084363681792,CBSNews,U.N. Security Council to vote on arms embargo against Yemen rebels http://t.co/d3MmjXvs96,8,33,http://cbsn.ws/1aM0EdX
587816306767978496,CBSNews,S.C. officer charged in shooting puzzled why victim ran http://t.co/pS9774LuKW http://t.co/VpqRnMV76x,17,39,http://cbsn.ws/1DXP10J
587815823714209792,CBSNews,Auctioned notebook contains secrets of WWII codebreaker http://t.co/gIYUy6PCo3,37,35,http://cbsn.ws/1O88PxW
587811601748774913,CBSNews,Study: Marijuana extract may help children with epilepsy http://t.co/9CiTxPYft4,81,100,http://cbsn.ws/1HlfxRe
587806333212164096,CBSNews,"Spotted: @HillaryClinton ordering a chicken bowl (with guacamole) in Maumee, Ohio http://t.co/LaJXG7t0uw http://t.co/cU5jibc5ZY",79,63,http://cbsn.ws/1DXLAqT
587801237678075904,CBSNews,Man convicted in murder-kidnap says he prefers execution http://t.co/kmEkQnQgdb http://t.co/tS7oD16nlb,22,37,http://cbsn.ws/1aLIMjf
587794672661200897,CBSNews,Flight forced to land after surprise in cargo hold http://t.co/OVjeOTS1OR,17,19,http://cbsn.ws/1IYt4MN
587790149964161025,CBSNews,"Spotted: @HillaryClinton ordering food at Chipotle in Maumee, Ohio http://t.co/sHJwMU4a04 http://t.co/zQAcwPunXY",76,67,http://cbsn.ws/1HkRFNG
587785126165229568,CBSNews,"LOOK: Over the decades, Abraham Lincoln descendants helped preserve part of America’s past http://t.co/9YgNpOpq7Y http://t.co/156tOtLYe0",73,74,http://cbsn.ws/1JElfgg
587780581242568704,CBSNews,"Missing dog reunited with owner a week after deadly tornado kills man's wife, destroys home http://t.co/8N7a7Qngde http://t.co/yziKbpZrSK",163,133,http://cbsn.ws/1DXns7R
587777307194064897,CBSNews,New treatment guidelines could help those with spring allergies http://t.co/aPeZgtDiOU,25,32,http://cbsn.ws/1HkHR6n
587772770307723264,CBSNews,"Seeing actors drink alcohol in movies seems to increase likelihood teens will drink, study suggests http://t.co/a1ssMMlnbA",18,34,http://cbsn.ws/1H0YgfD
587768511163928577,CBSNews,David Letterman announces final round of @Letterman guest stars http://t.co/MT1UpdHTV1 - @CBSShowbiz http://t.co/C6RDaMSbQG,67,91,http://cbsn.ws/1H19BfF
