dt,title,href,newstxt
2015-03-05 07:10:00,The search for MH370 explained in under 2 minutes - CNN Video,http://www.cnn.com/videos/tv/2015/03/05/pkg-mann-mh370-search.cnn,CNN's Jonathan Mann explains the science behind the search for missing Malaysia Airlines Flight 370 and why it's focused along the 7th arc in the Indian Ocean.
2015-02-25 16:14:00,Opinion: Why the minimum wage matters to kids - CNN Video,http://www.cnn.com/videos/opinions/2015/02/25/change-the-list-poverty-min-wage-sutter-orig-ba.cnn,The minimum wage difference between Washington and Idaho is enough to help one mom raise her kids much more comfortably.
2015-03-05 18:11:00,"50 years later, a new angle of Selma - CNN Video",http://www.cnn.com/videos/us/2015/03/05/selma-timeline-drone-50-years-orig-nws.cnn,"In this CNN exclusive, see Selma through the lens of a drone and learn about its significant past. "
2015-02-26 18:31:00,Lasso that llama! - CNN Video,http://www.cnn.com/videos/us/2015/02/26/erin-pkg-moos-loose-llamas.cnn,Watch cops try to lasso llamas on the lam running loose on city streets. CNN's Jeanne Moos has the llama drama.
2015-03-06 16:52:00,Obamacare at the Supreme Court in less than three minutes - CNN Video,http://www.cnn.com/videos/politics/2015/03/06/obamacare-scotus-illustrated-origwx-bw-wm.cnn,King v. Burwell brought the Affordable Care Act back to the Supreme Court. The ruling could stop federal healthcare subsidies in states without exchanges. Here are the notable moments from the case.
2015-02-15 15:07:00,ISIS posts video of purported mass beheading  - CNN Video,http://www.cnn.com/videos/world/2015/02/15/isis-video-purports-21-coptic-christian-hostages-beheaded.cnn,"In a new propaganda video released Sunday by ISIS, the group claims to have beheaded over a dozen members of Egypt's Coptic Christian minority on a Libyan beach. "
2015-01-27 16:45:00, Nantucket family with newborn struggles without power - CNN Video,http://www.cnn.com/videos/tv/2015/01/27/lead-bpr-herrick-nantucket-no-power-snowstorm.cnn,"Most of the island is without power. Resident Tyler Herrick father to a 3-month-old, says his home's temperature has dropped to 54 degrees Fahrenheit. "
2015-01-22 18:24:00,Saudi State TV: King Abdullah dead at 90 - CNN Video,http://www.cnn.com/videos/world/2015/01/22/pkg-robertson-saudi-arabia-king-abdullah-obit.cnn,CNN's Nic Robertson looks back on the life and legacy of King Abdullah of Saudi Arabia.
2015-02-21 17:31:00,Fishing for dinner in Vanuatu - CNN Video,http://www.cnn.com/videos/tv/2015/02/21/wonder-list-fishing-for-dinner-in-vanuatu.cnn,Bill Weir learns that fishing in Vanuatu is much different than what he is used to doing in the U.S. The Wonder List is on CNN Sundays at 10p ET/PT.
2015-01-29 19:08:00,What to watch besides the Super Bowl - CNN Video,http://www.cnn.com/videos/entertainment/2015/01/30/super-bowl-alternatives-lisas-desk-orig-mg.cnn,"CNN's Lisa France gives you the rundown on what else is happening on Super Bowl Sunday, in case you are looking for a diversion from football."
2015-01-31 19:51:00,CNN reporter gets rare access to Saudi-Yemen border - CNN Video,http://www.cnn.com/videos/us/2015/02/01/pkg-robertson-saudi-yemen-border.cnn,CNN's Nic Robertson rides along with Saudi border police as they patrol the border with Yemen. 
2015-01-31 19:51:00,CNN reporter gets rare access to Saudi-Yemen border - CNN Video,http://www.cnn.com/videos/us/2015/02/01/pkg-robertson-saudi-yemen-border.cnn,CNN's Nic Robertson rides along with Saudi border police as they patrol the border with Yemen. 
2015-02-19 15:51:00,Reporter: ISIS seeking apocalypse - CNN Video,http://www.cnn.com/videos/tv/2015/02/19/lead-intv-wood-what-does-isis-really-want.cnn,"The Atlantic magazine's Graeme Wood joins CNN to discuss his article ""What ISIS really wants and how to stop it""."
2015-02-01 22:58:00,They study clouds ... as they live inside them - CNN Video,http://www.cnn.com/videos/us/2015/02/02/storm-peak-lab-gray-orig.cnn,"CNN's Jennifer Gray visits a mountaintop lab in Steamboat Springs, Colorado, where a team lives to study clouds from the inside."
2015-02-27 20:50:00,Mysterious Ceres images perplex NASA - CNN Video,http://www.cnn.com/videos/us/2015/02/28/orig-crane-ceres-dwarf-planet-classification.cnn-nasa,"CNN's Rachel Crane looks at Ceres, a mysterious dwarf planet, as NASA's Dawn spacecraft closes in."
2015-02-05 22:57:00,TransAsia survivor: 'The engine didn't seem right' - CNN Video,http://www.cnn.com/videos/tv/2015/02/06/exp-ac-dnt-coren-taiwan-transasia-plane-crash-survivors-speak.cnn,CNN's Anna Coren reports on how some of the survivors of the plane crash made it out alive.
2015-02-05 16:36:00,Misdiagnosed man heard mom wish him dead - CNN Video,http://www.cnn.com/videos/health/2015/02/05/ac-dnt-cooper-martin-pistorius-ghost-boy.cnn,"For 12 years, Martin Pistorius say he was trapped inside his own body fully conscious while physically in a vegetative state. Pistorius, who speaks via a computer, wrote a book about his experience titled ""Ghost Boy.""  CNN's Anderson Cooper reports."
2015-02-28 11:16:00,'Duck Dynasty' star: STDs are revenge of the hippies - CNN Video,http://www.cnn.com/videos/politics/2015/02/28/sot-duck-dynasty-phil-robertson-std-cpac-hippies.cnn,"Speaking at CPAC, Phil Robertson cited a 2008 CDC study of STDs and said the estimated 110 million STD cases in the United States are ""the revenge of the hippies."""
2015-02-09 14:37:00,'Underground for 5 days': On the frontlines in Ukraine - CNN Video,http://www.cnn.com/videos/world/2015/02/09/pkg-paton-walsh-ukraine-city-destroyed.cnn,A Ukrainian civilian tells CNN's Nick Paton Walsh that she and her family hid underground for five days during the shelling of their city.
2015-02-04 19:04:00,Basketball court vanishes under players' feet - CNN Video,http://www.cnn.com/videos/entertainment/2015/02/05/3d-projection-system-nba-atlanta-hawks-orig-mg.cnn,"The 3-D projection system being used by the NBA's Atlanta Hawks, among other teams, transforms the basketball court into a three-dimensional display. Other teams across the NBA and NHL are working to incorporate this type of technology into their arenas, making for a more unique and dynamic game experience."
2015-02-06 16:41:00,Soldiers flagging Brian Williams reporting since 2003 - CNN Video,http://www.cnn.com/videos/tv/2015/02/06/lead-intv-tritten-brian-williams-iraq-story.cnn,"Soldiers that flagged inaccuracies in Williams' Iraq story tell Stars & Stripes reporter Travis Tritten they wanted an apology, not to see him fired. "
2015-01-20 11:03:00,Teacher drags 6-year-old student through hallway - CNN Video,http://www.cnn.com/videos/us/2015/01/20/dnt-student-dragged-by-teacher-kentucky.wave,Security cameras show a teacher dragging a first-grader through a school hallway in Kentucky. CNN affiliate WAVE reports.
2015-01-29 20:23:00,Watch doctors have heated debate over vaccination - CNN Video,http://www.cnn.com/videos/tv/2015/01/30/erin-panel-anti-vaccination-debate.cnn,Physicians Jack Wolfson and Armand Dorian have a heated debate over whether or not children should be vaccinated.
2015-02-17 13:11:00,Walking the streets of Paris as a Jew - CNN Video,http://www.cnn.com/videos/world/2015/02/17/pkg-foster-france-walking-streets-of-paris-as-a-jew.cnn,"To see if Paris is actually safe for Jews, an Israeli journalist filmed himself walking through various sections of Paris wearing a kippah and prayer tassels. He released an edited video to the web that has quickly gone viral."
2015-01-29 16:57:00,Pilot simulates what happened in the AirAsia cockpit - CNN Video,http://www.cnn.com/videos/us/2015/01/29/erin-dnt-lah-airasia-simulator.cnn,CNN's Kyung Lah sits in a plane simulator to experience what the final moments in the cockpit of AirAsia Flight 8501 may have been like. 
2015-02-12 02:18:00,Middle school students get '50 Shades of Grey' word search - CNN Video,http://www.cnn.com/videos/us/2015/02/12/dnt-pa-middle-school-fifty-shades-puzzle.wtae,"Teacher gives five students at a Pennsylvania middle school ""50 Shades of Grey"" word search. WTAE reports"
2015-02-25 15:34:00,"Opinion: Mom pays $1,000 a month for a garage - CNN Video",http://www.cnn.com/videos/opinions/2015/02/25/change-the-list-poverty-garage-sutter-orig-ba.cnn,Sky-high rents in Silicon Valley are forcing parents into difficult living situations. CNN meets a woman who is raising her daughter in a single-car garage.
2015-03-09 04:09:00,Sigma Alpha Epsilon closes chapter after racist video - CNN Video,http://www.cnn.com/videos/us/2015/03/09/pkg-howell-oklahoma-fraternity-racist-chant.cnn,Sigma Alpha Epsilon shut down a chapter in Oklahoma when a video surfaced that showed members singing a racist chant. CNN's George Howell reports.
2015-02-21 10:31:00,Smerconish: Real patriots voice opinion on substance - CNN Video,http://www.cnn.com/videos/tv/2015/02/21/smerconish-commentary-02212015.cnn,"Michael Smerconish offers his thoughts on the controversial remarks made by Rudy Giuliani, former Mayor of New York Rudy Giuliani."
