dt,outlet,sp
2015-02-10,CNN,0.08184802171300642
2015-02-11,CNN,0.07909242100030038
2015-02-12,CNN,0.08786390441230602
2015-02-13,CNN,0.08431301301394155
2015-02-14,CNN,0.061505735882452284
2015-02-15,CNN,0.1038237419897614
2015-02-16,CNN,0.07995623161012638
2015-02-17,CNN,0.06831125391162485
2015-02-18,CNN,0.07752938412546576
2015-02-19,CNN,0.0819611479917294
2015-02-02,CNN,0.09563645471052573
2015-02-20,CNN,0.09360222426031962
2015-02-21,CNN,0.10884084755068406
2015-02-22,CNN,0.13638183973834367
2015-02-23,CNN,0.08559567875837058
2015-02-24,CNN,0.07794692825632264
2015-02-25,CNN,0.07751411922090215
2015-02-26,CNN,0.08654623002394358
2015-02-27,CNN,0.08565429920313367
2015-02-28,CNN,0.08131545826130994
2015-02-03,CNN,0.07349020060595904
2015-02-04,CNN,0.08159586514373658
2015-02-05,CNN,0.09375740115849715
2015-02-06,CNN,0.08275363679955017
2015-02-07,CNN,0.09024953677697746
2015-02-08,CNN,0.09671759612813795
2015-02-09,CNN,0.08955047381814502
2015-01-19,CNN,0.09954857353087464
2015-01-20,CNN,0.10462854804346806
2015-01-21,CNN,0.09777122337821473
2015-01-22,CNN,0.09399609762752839
2015-01-23,CNN,0.09131650644441489
2015-01-24,CNN,0.09088789364874494
2015-01-25,CNN,0.11032407317110399
2015-01-26,CNN,0.08320233083892929
2015-01-27,CNN,0.08930499195222633
2015-01-28,CNN,0.08506472690743168
2015-01-29,CNN,0.09433641573233295
2015-01-30,CNN,0.10177948168961763
2015-01-31,CNN,0.10173656443860822
2015-03-01,CNN,0.09643121139661898
2015-03-10,CNN,0.09227929927949248
2015-03-11,CNN,0.07643668549472574
2015-03-02,CNN,0.08251425858933167
2015-03-03,CNN,0.08877518282994379
2015-03-04,CNN,0.08442873457201741
2015-03-05,CNN,0.08931072319754738
2015-03-06,CNN,0.09107315987439771
2015-03-07,CNN,0.10586399061694766
2015-03-08,CNN,0.10207142401671361
2015-03-09,CNN,0.08152487788044789
