src,filename,href,title
cnn,18yyWQZ,http://www.cnn.com/specials/live-video-2,LIVE EVENT: Former Patriot's murder trial - CNN.com
cnn,18ZOi14,http://www.cnn.com/2015/02/06/politics/snapchat-sean-duffy-congress/index.html,Congressman uses Snapchat instead of Email - CNN.com
cnn,18zYKwC,http://www.cnn.com/2015/03/01/us/alaska-volcano-flights-canceled/index.html,Alaska flights canceled over ash from Russian volcano  - CNN.com
cnn,192ltRP,http://www.cnn.com/2015/02/09/politics/alabama-supreme-court-gay-marriage/index.html,Alabama gay marriages allowed after SCOTUS order - CNN.com
cnn,193zYES,http://www.cnn.com/2015/02/09/world/isis-cantlie-video/index.html,Captive British journalist shown in ISIS video - CNN.com
cnn,195dOCx,http://money.cnn.com/2015/03/09/smallbusiness/marijuana-startups/index.html,"Pot startups cash in on wave of marijuana legalization - Mar. 9, 2015 "
cnn,195E9Ap,http://money.cnn.com/2015/03/09/technology/hbo-apple-tv/index.html,"HBO Now will stream on Apple devices - Mar. 9, 2015 "
cnn,196yOIG,https://twitter.com/theleadcnn/status/565258456735944704,"The Lead CNN on Twitter: ""I'm not yet sure how to live in a world without Kayla, says childhood friend of #KaylaMueller http://t.co/WzdkM1djL8"""
cnn,197StbA,http://www.cnn.com/2015/03/10/africa/libya-isis-foreigners-abducted/index.html,ISIS militants believed to hold 9 foreigners in Libya - CNN.com
cnn,199LmQ1,http://money.cnn.com/2015/03/10/news/companies/dunkin-donuts-titanium-dioxide/index.html,"Dunkin' Donuts to remove titanium dioxide from donuts - Mar. 10, 2015 "
cnn,19clDWN,http://www.cnn.com/2015/02/11/living/soul-mate-stories-kidney-donor-match-irpt/index.html,"She gave him a kidney, he gave her his heart - CNN.com"
cnn,19ctBPD,http://www.cnn.com/2015/02/12/entertainment/feat-neil-degrasse-tyson-conan-star-talk/index.html,"Neil deGrasse Tyson poaches Conan's set, sidekick - CNN.com"
cnn,19dpCm2,http://money.cnn.com/2015/02/12/news/economy/obamacare-costs/index.html,"You'll pay a lot more to see the doctor with Obamacare than with job-based health insurance - Feb. 12, 2015 "
cnn,19g8vQA,http://www.cnn.com/2015/02/13/world/asia/china-jackie-chan-son-release/index.html,Jackie Chan's son released from jail in China - CNN.com
cnn,19gqA0N,http://www.cnn.com/2015/02/13/us/boston-blizzard/index.html,"Boston prepares for more snow, possible blizzard - CNN.com"
cnn,19JYafN,http://www.cnn.com/videos/entertainment/2015/02/19/oscars-seat-filler-orig.cnn,Confessions of an Oscars seat filler - CNN Video
cnn,19Kj9PH,http://www.cnn.com/2015/02/19/travel/feat-great-lakes-niagara-falls-frozen/index.html,Frozen Niagara Falls draws tourists - CNN.com
cnn,19MNjlm,http://www.cnn.com/2015/02/20/us/winter-weather/index.html,Arrest Elsa! Police seek comic relief from bitter cold - CNN.com
cnn,19MX1nM,http://www.cnn.com/videos/tv/2015/02/21/exp-erin-intv-shuter-how-much-is-an-oscar-win-worth.cnn,How much is an Oscar win worth? - CNN Video
cnn,19ntH7c,http://www.cnn.com/2015/02/16/us/winter-weather/index.html,"Southern, Midwest U.S. face mix of snow, ice and sleet - CNN.com"
cnn,19pRX8D,http://www.cnn.com/2015/02/14/living/feat-cindy-crawford-body/index.html,Cindy Crawford image stirs debate over 'real women' - CNN.com
cnn,19rZ6VW,http://www.cnn.com/2015/02/17/politics/texas-obama-immigration-injunction/index.html,Obama immigration order halted by Texas judge - CNN.com
cnn,19sIuO2,http://www.cnn.com/2015/02/17/politics/poll-netanyahu-speech-opposition/index.html,Poll: Majority of Americans oppose Netanyahu invite - CNN.com
cnn,19w0kQ6,http://www.cnn.com/2015/02/17/us/las-vegas-road-rage-killing/index.html,"Las Vegas road rage case: Woman went back out, cops say - CNN.com"
cnn,19W6Lw9,http://www.cnn.com/2015/02/21/us/arizona-b-52-restored/index.html,'Ghost Rider' B-52 rises from Boneyard - CNN.com
cnn,19yPIzY,http://www.cnn.com/videos/entertainment/2015/02/16/how-oscars-voting-works-orig.cnn,The weird way Oscar votes are counted - CNN Video
cnn,1A00EAy,http://www.cnn.com/videos/world/2015/02/16/orig-pkg-robertson-al-qaeda-wanted-list.cnn,Who is on al Qaeda's 'wanted' list? - CNN Video
cnn,1A0EPgH,http://www.cnn.com/videos/travel/2015/03/05/mxp-lion-opens-car-door-with-teeth.hln,"Lion opens car door, terrifies family - CNN Video"
cnn,1A0pTS0,http://www.cnn.com/videos/tv/2015/02/10/inside-man-spurlock-dating.cnn,Can these apps help you find true love? - CNN Video
cnn,1A0WmnM,http://www.cnn.com/videos/world/2015/02/23/name-isis-hates-orig.cnn,The name ISIS hates to be called - CNN Video
cnn,1A199vx,http://www.cnn.com/2015/02/07/entertainment/bobbi-kristina-hospitalized/index.html,Source: Focus on Bobbi Kristina's boyfriend Nick Gordon  - CNN.com
cnn,1A1aELM,http://www.cnn.com/2015/02/08/entertainment/bruce-jenner-car-accident/index.html,Bruce Jenner calls car crash 'a devastating tragedy' - CNN.com
cnn,1a1dgO7,http://www.cnn.com/2015/02/22/entertainment/oscars-2015-academy-awards-feat/index.html,"Oscars: 'Birdman' is best picture, Redmayne nabs actor - CNN.com"
cnn,1A1hKt2,http://www.cnn.com/2015/02/23/entertainment/feat-oscars-social-media-buzz/index.html,Oscars social moments - CNN.com
cnn,1A1qW4d,http://www.cnn.com/2015/02/12/world/a-10-jets-to-europe/index.html,Air Force sending 'tankbuster' jets back to Europe - CNN.com
cnn,1A1SWHk,https://twitter.com/newday/status/560787714711101442,"New Day on Twitter: ""BREAKING: U.K. scrambles to intercept two Russian bombers. http://t.co/nUnqiXmiVA"""
cnn,1A21JnZ,http://www.cnn.com/2015/03/05/politics/2016-election-rick-perry-staffing/index.html,Democrats' only choice? Defend Hillary Clinton - CNN.com
cnn,1A33EbK,http://www.cnn.com/2015/03/06/asia/india-rape-suspect-hanging/index.html,"Indian mob breaks into jail, kills rape suspect  - CNN.com"
cnn,1A3Pqrd,http://money.cnn.com/2015/03/06/news/ringling-brothers-elephants/index.html,"How I ran away and joined the Ringling Brothers circus - Mar. 6, 2015 "
cnn,1A3vncq,http://www.cnn.com/videos/tv/2015/03/06/newday-delta-passenger.cnn,Delta passenger thought he would 'end up dead' - CNN Video
cnn,1A4gZ7g,http://www.cnn.com/2015/02/17/travel/china-spring-migration-chunyun/index.html,Earth's biggest human migration on a map - CNN.com
cnn,1A4iY8c,http://money.cnn.com/2015/03/06/news/frog-burger-japan/index.html,"Frogalicious! Japanese cafe serves a whole frog burger - Mar. 6, 2015 "
